trade_date,pb1220,pb1098,pb976,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb1,min1,min2,min3,max1,max2,max3,close
20060321,2.5728,2.3377,2.3013,2.3291,2.3721,2.2067,1.8832,1.4369,1.2172,1.0858,1.069,1.0858,1.2172,1.4369,2.5728,2.3721,2.3377,3.64
20060322,2.5703,2.3342,2.3003,2.3278,2.3704,2.2027,1.8777,1.4329,1.215,1.0817,1.0488,1.0817,1.215,1.4329,2.5703,2.3704,2.3342,3.64
20060323,2.5679,2.3307,2.2994,2.3265,2.3687,2.1987,1.8719,1.4289,1.2126,1.0776,1.0488,1.0776,1.2126,1.4289,2.5679,2.3687,2.3307,3.64
20060324,2.5655,2.3274,2.2983,2.3251,2.367,2.1947,1.866,1.4249,1.2101,1.073,1.0488,1.073,1.2101,1.4249,2.5655,2.367,2.3274,3.57
20060327,2.5632,2.324,2.2973,2.3237,2.3652,2.1907,1.8601,1.4206,1.2076,1.0685,1.0034,1.0685,1.2076,1.4206,2.5632,2.3652,2.324,3.53
20060328,2.5608,2.3206,2.2962,2.3223,2.3635,2.1869,1.8541,1.4162,1.205,1.0641,0.9922,1.0641,1.205,1.4162,2.5608,2.3635,2.3223,3.52
20060329,2.5584,2.3176,2.2953,2.3209,2.3617,2.1832,1.8482,1.4117,1.2025,1.0595,0.9894,1.0595,1.2025,1.4117,2.5584,2.3617,2.3209,3.55
20060330,2.556,2.3145,2.2943,2.3195,2.3601,2.1794,1.8421,1.4072,1.2001,1.055,0.9978,1.055,1.2001,1.4072,2.556,2.3601,2.3195,3.48
20060331,2.5536,2.3111,2.2934,2.3181,2.3583,2.1756,1.836,1.4027,1.1978,1.0504,0.9781,1.0504,1.1978,1.4027,2.5536,2.3583,2.3181,3.49
20060403,2.5512,2.3077,2.2923,2.3166,2.3566,2.1719,1.8298,1.3983,1.1955,1.0464,0.9809,1.0464,1.1955,1.3983,2.5512,2.3566,2.3166,3.54
20060404,2.5489,2.3043,2.2913,2.3152,2.3548,2.1682,1.8235,1.394,1.1934,1.0429,0.995,1.0429,1.1934,1.394,2.5489,2.3548,2.3152,3.52
20060405,2.5465,2.3011,2.2903,2.3138,2.3531,2.1645,1.8172,1.3897,1.1913,1.0392,0.9894,1.0392,1.1913,1.3897,2.5465,2.3531,2.3138,3.56
